id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,loan_status,pymnt_plan,purpose
sdv-id-HULhdj,19689.0,3078.0,16482.781718471884, 36 months,16.89,469.63,B,F2,2 years,OWN,83184.44,Source Verified,Current,n,small_business
sdv-id-OwBLoh,27370.0,1000.0,1103.5232283701062, 36 months,12.62,169.18,C,C5,8 years,OWN,98549.51,Source Verified,Late (31-120 days),n,debt_consolidation
sdv-id-QOahYK,1000.0,15349.0,16627.294242832082, 36 months,12.58,895.67,A,A5,8 years,RENT,32729.65,Not Verified,Fully Paid,n,debt_consolidation
sdv-id-pbjpOi,19386.0,13182.0,36642.03897805804, 36 months,10.93,235.84,B,B2,6 years,MORTGAGE,60237.64,Verified,Charged Off,n,debt_consolidation
sdv-id-EXOFIY,3410.0,19957.0,903.3833518009405, 36 months,30.99,342.81,D,B1,1 year,MORTGAGE,47120.2,Not Verified,Late (31-120 days),n,home_improvement
sdv-id-nAkwuQ,18068.0,10015.0,37469.25636509567, 60 months,30.23,486.19,F,F2,4 years,OWN,114590.56,Not Verified,Current,n,debt_consolidation
sdv-id-OgJbSt,1827.0,1000.0,28871.961156689264, 36 months,16.23,301.61,D,E3,7 years,MORTGAGE,46209.46,Verified,Charged Off,y,debt_consolidation
sdv-id-jHsCOP,8672.0,27380.0,27314.37923029552, 60 months,30.99,285.7,D,B5,< 1 year,OWN,40094.89,Verified,Current,n,credit_card
sdv-id-ERqXPb,1451.0,11804.0,30394.749150310734, 36 months,18.18,65.71,A,C1,5 years,RENT,111573.39,Not Verified,Fully Paid,n,wedding
sdv-id-NITJVw,17874.0,8848.0,5557.159303806211, 36 months,17.78,1275.33,E,C5,10+ years,RENT,20956.23,Not Verified,Current,n,home_improvement
sdv-id-HJRYfe,18087.0,2928.0,0.0, 36 months,17.24,291.46,C,C5,5 years,OWN,64932.78,Not Verified,Fully Paid,n,home_improvement
sdv-id-lTMBrO,40000.0,32845.0,5501.126125769376, 36 months,16.57,352.19,B,A4,10+ years,OWN,109030.03,Source Verified,Charged Off,y,debt_consolidation
sdv-id-MsDwOC,38158.0,26097.0,803.9300479087974, 36 months,11.71,777.12,A,B4,10+ years,RENT,47915.84,Source Verified,Does not meet the credit policy. Status:Fully Paid,n,debt_consolidation
sdv-id-QCHNHH,37428.0,22825.0,3993.095970236509, 36 months,9.8,476.03,B,D1,1 year,OWN,15095.22,Verified,Does not meet the credit policy. Status:Fully Paid,n,debt_consolidation
sdv-id-dEnZVi,9897.0,28882.0,7222.671943681611, 36 months,20.68,22.24,C,A5,10+ years,MORTGAGE,91362.81,Verified,Current,n,debt_consolidation
sdv-id-xzZnrf,20099.0,14533.0,33981.61327434274, 36 months,18.04,160.66,A,B5,10+ years,OWN,28912.93,Verified,Current,n,credit_card
sdv-id-dHpTPo,1000.0,24948.0,2677.6211558581917, 36 months,17.67,22.24,F,G2,< 1 year,RENT,103996.47,Not Verified,Charged Off,n,debt_consolidation
sdv-id-jTYHtE,19516.0,24733.0,2423.108411946622, 60 months,26.07,328.75,D,G2,10+ years,RENT,133243.52,Verified,Fully Paid,n,credit_card
sdv-id-fJyDVe,16511.0,33062.0,11481.4327784528, 36 months,21.18,849.64,B,A4,10+ years,MORTGAGE,68307.83,Verified,Charged Off,n,debt_consolidation
sdv-id-HzASzJ,14208.0,14467.0,4120.535209851878, 36 months,14.95,399.3,D,B1,9 years,RENT,28858.13,Verified,Charged Off,n,small_business
sdv-id-bZupmZ,5297.0,1000.0,21651.542623715184, 36 months,30.99,914.64,C,G3,3 years,MORTGAGE,52965.16,Source Verified,Charged Off,n,other
sdv-id-oytbgQ,3855.0,2662.0,12867.573760450157, 36 months,11.3,109.62,C,G2,10+ years,MORTGAGE,54552.24,Source Verified,Fully Paid,n,moving
sdv-id-njhDbE,9036.0,32896.0,13631.042034692258, 60 months,18.61,165.51,F,C2,10+ years,RENT,104502.94,Verified,Fully Paid,n,home_improvement
sdv-id-LABAal,16938.0,22583.0,16208.902372360923, 36 months,29.37,26.27,B,C1,10+ years,MORTGAGE,71019.73,Source Verified,Charged Off,n,vacation
sdv-id-iontDl,20931.0,31225.0,1529.6937696414643, 36 months,13.09,203.7,D,A3,5 years,RENT,112439.89,Verified,Fully Paid,n,debt_consolidation
sdv-id-MDAuzM,4422.0,1000.0,13818.272718889899, 60 months,16.58,934.1,G,A2,10+ years,MORTGAGE,35886.69,Not Verified,Charged Off,n,other
sdv-id-JPzyVd,1000.0,2868.0,15168.328462674703, 60 months,12.61,323.77,C,C5,10+ years,OWN,262800.17,Not Verified,Current,n,car
sdv-id-azuEhv,8186.0,6128.0,12275.94669983062, 60 months,10.02,44.97,A,B3,8 years,MORTGAGE,61487.44,Verified,Charged Off,n,credit_card
sdv-id-EtsGgR,14655.0,14338.0,8099.687697231753, 60 months,17.36,348.84,G,E4,1 year,RENT,54027.34,Source Verified,Fully Paid,n,debt_consolidation
sdv-id-ZrPFUD,12139.0,19257.0,25140.72849036052, 36 months,18.79,283.93,F,C5,10+ years,MORTGAGE,66538.33,Verified,Late (16-30 days),n,debt_consolidation
