id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,loan_status,pymnt_plan,purpose
sdv-id-mhgIdV,12618.0,11679.0,12978.552653810711, 36 months,7.97,245.71,A,A4,2 years,MORTGAGE,53923.83,Not Verified,Fully Paid,n,debt_consolidation
sdv-id-dEEVDF,15087.0,15023.0,15603.277435797809, 36 months,10.9,476.81,B,B4,2 years,MORTGAGE,89817.27,Not Verified,Fully Paid,n,debt_consolidation
sdv-id-NVpFvG,20689.0,20128.0,19821.544428497993, 36 months,16.35,529.48,C,C5,10+ years,OWN,158209.03,Source Verified,Current,n,debt_consolidation
sdv-id-CNncGp,19321.0,18668.0,18936.72859269627, 60 months,22.45,579.98,E,E4,10+ years,MORTGAGE,53952.35,Verified,Current,n,debt_consolidation
sdv-id-jlfWiW,18288.0,17408.0,18365.4407569945, 36 months,14.76,464.35,C,C5,8 years,MORTGAGE,69008.4,Verified,Charged Off,n,debt_consolidation
sdv-id-ygnZbA,11406.0,11198.0,15205.131234225173, 60 months,30.75,535.81,G,B2,1 year,MORTGAGE,38816.96,Source Verified,Charged Off,n,debt_consolidation
sdv-id-rytwNC,31300.0,31407.0,33859.25555904147, 36 months,16.69,843.48,D,D1,1 year,RENT,89183.96,Verified,Late (31-120 days),y,debt_consolidation
sdv-id-WrDjrP,19604.0,19022.0,20309.4429496426, 36 months,7.23,546.65,A,B1,10+ years,MORTGAGE,75560.5,Source Verified,Current,n,credit_card
sdv-id-zhAwXx,1076.0,1035.0,523.1081935925044, 60 months,15.5,92.89,D,D1,< 1 year,RENT,30267.98,Source Verified,Fully Paid,n,renewable_energy
sdv-id-JefDaf,21559.0,21657.0,20895.17597898646, 60 months,14.02,377.49,C,C1,7 years,MORTGAGE,54189.02,Verified,Current,n,debt_consolidation
sdv-id-yMNJpj,2902.0,2166.0,2410.9874194827967, 36 months,9.43,52.21,B,B2,4 years,OWN,26585.85,Source Verified,Current,n,other
sdv-id-MgFoHu,34513.0,34474.0,9927.790549506988, 36 months,15.72,883.54,C,C5,2 years,RENT,85662.42,Verified,Late (31-120 days),y,debt_consolidation
sdv-id-WloNGF,24775.0,29952.0,24071.32685462221, 60 months,26.01,575.76,E,E4,10+ years,MORTGAGE,113137.05,Source Verified,Current,n,debt_consolidation
sdv-id-Rnwfwv,14929.0,7088.0,14850.923969891066, 36 months,15.22,311.37,C,C5,10+ years,RENT,38274.49,Verified,In Grace Period,n,other
sdv-id-PUEYJx,11918.0,12133.0,11335.594782326532, 60 months,15.92,444.44,C,C5,9 years,MORTGAGE,41617.05,Source Verified,Charged Off,n,debt_consolidation
sdv-id-PbShDl,9864.0,8369.0,9860.549810030261, 60 months,13.83,181.18,C,C4,10+ years,RENT,40698.66,Not Verified,Current,n,medical
sdv-id-jyXTxv,19007.0,18598.0,19577.862181065822, 60 months,18.75,476.95,E,D1,2 years,RENT,57203.68,Not Verified,Fully Paid,n,debt_consolidation
